group,value
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,103220.00
control,9199.00
control,13.00
control,6754.00
control,68.00
control,1671.00
control,0.00
control,0.00
control,149.00
control,0.00
control,9430.00
control,0.00
control,11757.00
control,0.00
control,7280.00
control,0.00
control,0.00
control,0.00
control,241.00
control,6735.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1680.00
control,64897.00
control,20052.00
control,0.00
control,9540.00
control,0.00
control,0.00
control,0.00
control,52748.00
control,65.00
control,0.00
control,0.00
control,0.00
control,0.00
control,241618.00
control,71858.00
control,0.00
control,0.00
control,0.00
control,26419.00
control,0.00
control,37.00
control,1023.00
control,12522.00
control,9.00
control,9668.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,58335.00
control,0.00
control,271.00
control,3877.00
control,6.00
control,3731.00
control,0.00
control,0.00
control,0.00
control,17057.00
control,0.00
control,3.00
control,7789.00
control,2626.00
control,152381.00
control,294.00
control,0.00
control,0.00
control,0.00
control,3.00
control,87.00
control,0.00
control,2721.00
control,0.00
control,0.00
control,72863.00
control,0.00
control,0.00
control,0.00
control,31056.00
control,120.00
control,0.00
control,0.00
control,0.00
control,11.00
control,5.00
control,0.00
control,54720.00
control,9.00
control,48308.00
control,2935.00
control,2920.00
control,0.00
control,0.00
control,0.00
control,107.00
control,7253.00
control,224.00
control,12247.00
control,2862.00
control,0.00
control,1595.00
control,157.00
control,0.00
control,0.00
control,1985.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2053.00
control,19445.00
control,3949.00
control,10366.00
control,0.00
control,0.00
control,1408.00
control,14964.00
control,5470.00
control,130847.00
control,3467.00
control,0.00
control,1838.00
control,0.00
control,351.00
control,0.00
control,0.00
control,0.00
control,0.00
control,877.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1600.00
control,0.00
control,24252.00
control,0.00
control,1709.00
control,8628.00
control,0.00
control,2128.00
control,0.00
control,0.00
control,0.00
control,8102.00
control,0.00
control,0.00
control,14341.00
control,2874.00
control,0.00
control,0.00
control,0.00
control,44.00
control,30.00
control,1618.00
control,2280.00
control,25124.00
control,3635.00
control,4407.00
control,2529.00
control,0.00
control,3745.00
